data;plano contas id;cliente;uf;valor recebido
05/01/2017;11;Cliente 26;SP;R$ 20,64
06/01/2017;11;Cliente 26;SP;R$ 74,74
09/01/2017;11;Cliente 26;SP;R$ 94.993,81
10/01/2017;11;Cliente 26;SP;R$ 1.404,94
10/01/2017;11;Cliente 26;SP;R$ 14,25
18/01/2017;11;Cliente 26;SP;R$ 18,21
18/01/2017;11;Cliente 26;SP;R$ 966,05
19/01/2017;11;Cliente 26;SP;R$ 73.365,75
23/01/2017;11;Cliente 26;SP;R$ 7,48
24/01/2017;11;Cliente 26;SP;R$ 311,97
01/02/2017;11;Cliente 26;SP;R$ 6.385,95
06/02/2017;11;Cliente 26;SP;R$ 389,45
08/02/2017;11;Cliente 26;SP;R$ 27,41
08/02/2017;11;Cliente 26;SP;R$ 142,48
08/02/2017;11;Cliente 26;SP;R$ 226,57
08/02/2017;11;Cliente 26;SP;R$ 36.823,02
10/02/2017;11;Cliente 26;SP;R$ 18,79
10/02/2017;11;Cliente 26;SP;R$ 1.694,63
14/02/2017;11;Cliente 26;SP;R$ 41,00
17/02/2017;11;Cliente 26;SP;R$ 59,12
17/02/2017;11;Cliente 26;SP;R$ 92,26
20/02/2017;11;Cliente 26;SP;R$ 83,68
20/02/2017;11;Cliente 26;SP;R$ 392,03
21/02/2017;11;Cliente 26;SP;R$ 237,66
23/02/2017;11;Cliente 26;SP;R$ 4.287,32
23/02/2017;11;Cliente 26;SP;R$ 3.500,88
03/03/2017;11;Cliente 26;SP;R$ 62.424,24
15/03/2017;11;Cliente 26;SP;R$ 46,07
17/03/2017;11;Cliente 26;SP;R$ 248,25
27/03/2017;11;Cliente 26;SP;R$ 495,86
29/03/2017;11;Cliente 26;SP;R$ 75.011,94
04/04/2017;11;Cliente 26;SP;R$ 169,48
04/04/2017;11;Cliente 26;SP;R$ 234,87
04/04/2017;11;Cliente 26;SP;R$ 106,52
05/04/2017;11;Cliente 26;SP;R$ 4.390,12
05/04/2017;11;Cliente 26;SP;R$ 154,42
07/04/2017;11;Cliente 26;SP;R$ 221,19
11/04/2017;11;Cliente 26;SP;R$ 215,72
11/04/2017;11;Cliente 26;SP;R$ 63,60
11/04/2017;11;Cliente 26;SP;R$ 4.064,37
11/04/2017;11;Cliente 26;SP;R$ 90,80
11/04/2017;11;Cliente 26;SP;R$ 233,16
12/04/2017;11;Cliente 26;SP;R$ 695,36
