Id,Date,DateLongDescription,DateShortDescription,DayLongName,DayShortName,MonthLongName,MonthShortName,CalendarDay,CalendarWeek,CalendarWeekStartDateId,CalendarWeekEndDateId,CalendarDayInWeek,CalendarMonth,CalendarMonthStartDateId,CalendarMonthEndDateId,CalendarNumberOfDaysInMonth,CalendarDayInMonth,CalendarQuarter,CalendarQuarterStartDateId,CalendarQuarterEndDateId,CalendarNumberOfDaysInQuarter,CalendarDayInQuarter,CalendarYear,CalendarYearStartDateId,CalendarYearEndDateId,CalendarNumberOfDaysInYear,FiscalDay,FiscalWeek,FiscalWeekStartDateId,FiscalWeekEndDateId,FiscalDayInWeek,FiscalMonth,FiscalMonthStartDateId,FiscalMonthEndDateId,FiscalNumberOfDaysInMonth,FiscalDayInMonth,FiscalQuarter,FiscalQuarterStartDateId,FiscalQuarterEndDateId,FiscalNumberOfDaysInQuarter,FiscalDayInQuarter,FiscalYear,FiscalYearStartDateId,FiscalYearEndDateId,FiscalNumberOfDaysInYear
"20170101","2017-01-01","domingo, 1 de janeiro de 2017","1 de jan. de 2017","Sunday","Sun","January","Jan","1","52","20161226","20170101","7","1","20170101","20170131","31","1","1","20170101","20170331","90","1","2017","20170101","20171231","365","-1","-1","-1","-1","-1","1","20170101","20170131","31","1","1","20170101","20170331","89","1","2017","20170101","20171231","365"
"20170102","2017-01-02","segunda-feira, 2 de janeiro de 2017","2 de jan. de 2017","Monday","Mon","January","Jan","2","1","20170102","20170108","1","1","20170101","20170131","31","2","1","20170101","20170331","90","2","2017","20170101","20171231","365","-1","-1","-1","-1","-1","1","20170101","20170131","31","2","1","20170101","20170331","89","2","2017","20170101","20171231","365"
"20170103","2017-01-03","terça-feira, 3 de janeiro de 2017","3 de jan. de 2017","Tuesday","Tue","January","Jan","3","1","20170102","20170108","2","1","20170101","20170131","31","3","1","20170101","20170331","90","3","2017","20170101","20171231","365","-1","-1","-1","-1","-1","1","20170101","20170131","31","3","1","20170101","20170331","89","3","2017","20170101","20171231","365"
"20170104","2017-01-04","quarta-feira, 4 de janeiro de 2017","4 de jan. de 2017","Wednesday","Wed","January","Jan","4","1","20170102","20170108","3","1","20170101","20170131","31","4","1","20170101","20170331","90","4","2017","20170101","20171231","365","-1","-1","-1","-1","-1","1","20170101","20170131","31","4","1","20170101","20170331","89","4","2017","20170101","20171231","365"
"20170105","2017-01-05","quinta-feira, 5 de janeiro de 2017","5 de jan. de 2017","Thursday","Thu","January","Jan","5","1","20170102","20170108","4","1","20170101","20170131","31","5","1","20170101","20170331","90","5","2017","20170101","20171231","365","-1","-1","-1","-1","-1","1","20170101","20170131","31","5","1","20170101","20170331","89","5","2017","20170101","20171231","365"
"20170106","2017-01-06","sexta-feira, 6 de janeiro de 2017","6 de jan. de 2017","Friday","Fri","January","Jan","6","1","20170102","20170108","5","1","20170101","20170131","31","6","1","20170101","20170331","90","6","2017","20170101","20171231","365","-1","-1","-1","-1","-1","1","20170101","20170131","31","6","1","20170101","20170331","89","6","2017","20170101","20171231","365"
"20170107","2017-01-07","sábado, 7 de janeiro de 2017","7 de jan. de 2017","Saturday","Sat","January","Jan","7","1","20170102","20170108","6","1","20170101","20170131","31","7","1","20170101","20170331","90","7","2017","20170101","20171231","365","-1","-1","-1","-1","-1","1","20170101","20170131","31","7","1","20170101","20170331","89","7","2017","20170101","20171231","365"
"20170108","2017-01-08","domingo, 8 de janeiro de 2017","8 de jan. de 2017","Sunday","Sun","January","Jan","8","1","20170102","20170108","7","1","20170101","20170131","31","8","1","20170101","20170331","90","8","2017","20170101","20171231","365","-1","-1","-1","-1","-1","1","20170101","20170131","31","8","1","20170101","20170331","89","8","2017","20170101","20171231","365"
"20170109","2017-01-09","segunda-feira, 9 de janeiro de 2017","9 de jan. de 2017","Monday","Mon","January","Jan","9","2","20170109","20170115","1","1","20170101","20170131","31","9","1","20170101","20170331","90","9","2017","20170101","20171231","365","-1","-1","-1","-1","-1","1","20170101","20170131","31","9","1","20170101","20170331","89","9","2017","20170101","20171231","365"
"20170110","2017-01-10","terça-feira, 10 de janeiro de 2017","10 de jan. de 2017","Tuesday","Tue","January","Jan","10","2","20170109","20170115","2","1","20170101","20170131","31","10","1","20170101","20170331","90","10","2017","20170101","20171231","365","-1","-1","-1","-1","-1","1","20170101","20170131","31","10","1","20170101","20170331","89","10","2017","20170101","20171231","365"
